Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$
118,Brasil,Tanzânia,2009,0,0
119,Brasil,"Tcheca, República",2009,9269,43902
120,Brasil,Togo,2009,0,0
121,Brasil,Trinidade Tobago,2009,0,0
122,Brasil,Tunísia,2009,0,0
123,Brasil,Turquia,2009,0,0
124,Brasil,Tuvalu,2009,0,0
125,Brasil,Uruguai,2009,0,0
126,Brasil,Vanuatu,2009,0,0
127,Brasil,Venezuela,2009,0,0
128,Brasil,Vietnã,2009,743,2143
1,Brasil,Afeganistão,2010,0,0
2,Brasil,África do Sul,2010,0,0
3,Brasil,"Alemanha, República Democrática",2010,27715,138666
4,Brasil,Angola,2010,33557,189891
5,Brasil,Anguilla,2010,0,0
6,Brasil,Antígua e Barbuda,2010,0,0
7,Brasil,Antilhas Holandesas,2010,9810,12808
8,Brasil,Argentina,2010,0,0
9,Brasil,Aruba,2010,0,0
10,Brasil,Austrália,2010,1823,17960
11,Brasil,Áustria,2010,0,0
12,Brasil,Bahamas,2010,3175,12759
13,Brasil,Bangladesh,2010,0,0
14,Brasil,Barbados,2010,0,0
15,Brasil,Barein,2010,0,0
16,Brasil,Bélgica,2010,42532,185411
17,Brasil,Belice,2010,0,0
18,Brasil,Benin,2010,0,0
19,Brasil,Bolívia,2010,54,282
20,Brasil,Bósnia-Herzegovina,2010,0,0
21,Brasil,Brasil,2010,0,0
22,Brasil,Bulgária,2010,0,0
23,Brasil,Cabo Verde,2010,11991,49366
24,Brasil,Camarões,2010,0,0
25,Brasil,Canadá,2010,0,0
26,Brasil,Catar,2010,0,0
27,Brasil,"Cayman, Ilhas",2010,0,0
28,Brasil,Chile,2010,0,0
29,Brasil,China,2010,795,2358
30,Brasil,Chipre,2010,0,0
31,Brasil,Cingapura,2010,1533,5504
32,Brasil,"Cocos (Keeling), Ilhas",2010,0,0
33,Brasil,Colômbia,2010,0,0
34,Brasil,Comores,2010,0,0
35,Brasil,Congo,2010,0,0
36,Brasil,"Coreia, Republica Sul",2010,0,0
37,Brasil,Costa do Marfim,2010,0,0
38,Brasil,Costa Rica,2010,0,0
39,Brasil,Croácia,2010,0,0
40,Brasil,Cuba,2010,0,0
41,Brasil,Curaçao,2010,0,0
42,Brasil,Dinamarca,2010,7034,69161
43,Brasil,Dominica,2010,0,0
44,Brasil,El Salvador,2010,0,0
45,Brasil,Emirados Arabes Unidos,2010,1035,3206
46,Brasil,Equador,2010,0,0
47,Brasil,"Eslovaca, Republica",2010,0,0
48,Brasil,Espanha,2010,0,0
49,Brasil,Estados Unidos,2010,228968,478630
50,Brasil,Estônia,2010,15848,40778
51,Brasil,Filipinas,2010,0,0
52,Brasil,Finlândia,2010,0,0
53,Brasil,França,2010,3614,18904
54,Brasil,Gana,2010,0,0
55,Brasil,Gibraltar,2010,0,0
56,Brasil,Granada,2010,0,0
57,Brasil,Grécia,2010,0,0
58,Brasil,Guatemala,2010,0,0
59,Brasil,Guiana,2010,783,3654
60,Brasil,Guiana Francesa,2010,0,0
61,Brasil,Guine Bissau,2010,0,0
62,Brasil,Guine Equatorial,2010,410,1015
63,Brasil,Haiti,2010,2700,3750
64,Brasil,Honduras,2010,0,0
65,Brasil,Hong Kong,2010,0,0
66,Brasil,Hungria,2010,540,4103
67,Brasil,Ilha de Man,2010,0,0
68,Brasil,Ilhas Virgens,2010,0,0
69,Brasil,India,2010,0,0
70,Brasil,Indonésia,2010,0,0
71,Brasil,Irã,2010,0,0
72,Brasil,Iraque,2010,0,0
73,Brasil,Irlanda,2010,3969,42795
74,Brasil,Itália,2010,1458,4828
75,Brasil,Jamaica,2010,0,0
76,Brasil,Japão,2010,112178,74628
77,Brasil,Jordânia,2010,0,0
78,Brasil,Letônia,2010,0,0
79,Brasil,Líbano,2010,0,0
80,Brasil,Libéria,2010,0,0
81,Brasil,Luxemburgo,2010,7344,32549
82,Brasil,Malásia,2010,0,0
83,Brasil,Malta,2010,0,0
84,Brasil,"Marshall, Ilhas",2010,0,0
85,Brasil,Mauritânia,2010,0,0
86,Brasil,México,2010,0,0
87,Brasil,Moçambique,2010,0,0
88,Brasil,Montenegro,2010,0,0
89,Brasil,Namibia,2010,0,0
90,Brasil,Nicaragua,2010,0,0
91,Brasil,Nigéria,2010,0,0
92,Brasil,Noruega,2010,0,0
93,Brasil,Nova Caledônia,2010,0,0
94,Brasil,Nova Zelândia,2010,0,0
95,Brasil,Omã,2010,0,0
96,Brasil,Países Baixos,2010,87368,302182
97,Brasil,Panamá,2010,0,0
98,Brasil,Paraguai,2010,510989,449197
99,Brasil,Peru,2010,0,0
100,Brasil,Polônia,2010,20464,95198
101,Brasil,Porto Rico,2010,0,0
102,Brasil,Portugal,2010,4577,18970
103,Brasil,Quênia,2010,0,0
104,Brasil,Reino Unido,2010,123624,295690
105,Brasil,República Dominicana,2010,0,0
106,Brasil,Rússia,2010,0,0
107,Brasil,São Tomé e Príncipe,2010,0,0
108,Brasil,São Vicente e Granadinas,2010,0,0
109,Brasil,Senegal,2010,0,0
110,Brasil,Serra Leoa,2010,0,0
111,Brasil,Singapura,2010,0,0
112,Brasil,Suazilândia,2010,0,0
113,Brasil,Suécia,2010,0,0
