Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Kosovo,XKX,1761474,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038,1761985,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114,4268873,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6773400,6974900,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6229930,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057,7529475,..
"Population, total",SP.POP.TOTL,Latvia,LVA,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,4951135,4995800,5045056,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631,5489739,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,2009169,2022747,2037677,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454,2305825,..
"Population, total",SP.POP.TOTL,Liberia,LBR,3905066,4019956,4181150,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416,5302681,..
"Population, total",SP.POP.TOTL,Libya,LBY,6360191,6491988,6188132,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277,6812341,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35675,35926,36189,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039,39327,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839,2831639,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064,653103,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,543021,557297,571003,582766,593374,604167,615239,626688,638609,650991,663653,676283,686607,695168,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,21117092,21731053,22348158,22966240,23588073,24215976,24850912,25501941,26169542,26846541,27533134,28225177,28915653,29611714,..
"Population, total",SP.POP.TOTL,Malawi,MWI,14298932,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,28217204,28717731,29184133,29660212,30134807,30606459,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,..
"Population, total",SP.POP.TOTL,Maldives,MDV,349037,361575,374440,387539,400728,416738,435582,454252,472442,489758,504508,514438,521457,523787,..
"Population, total",SP.POP.TOTL,Mali,MLI,15032635,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590,..
"Population, total",SP.POP.TOTL,Malta,MLT,412477,414508,416268,420028,425967,434558,445053,455356,467999,484630,504062,515332,518536,531113,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,53593,53416,52971,52203,51352,50419,49410,48329,47187,45989,44728,43413,42050,41569,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,3322616,3419461,3524249,3636113,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014,1266334,1262523,..
"Population, total",SP.POP.TOTL,Mexico,MEX,111049428,112532401,114150481,115755909,117290686,118755887,120149897,121519221,122839258,124013861,125085311,125998302,126705138,127504125,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,107868,107588,107887,108232,108609,109024,109462,109925,110430,110929,111379,112106,113131,114164,..
"Population, total",SP.POP.TOTL,Moldova,MDA,2865213,2862354,2860699,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2538894,..
"Population, total",SP.POP.TOTL,Monaco,MCO,32401,33178,33945,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,2666713,2702520,2743938,2792349,2845153,2902823,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,618294,619428,620079,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211,617213,..
"Population, total",SP.POP.TOTL,Morocco,MAR,32042877,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,22436660,23073723,23760421,24487611,25251731,26038704,26843246,27696493,28569441,29423878,30285595,31178239,32077072,32969518,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,49015836,49390988,49794522,50218185,50648334,51072436,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,..
"Population, total",SP.POP.TOTL,Namibia,NAM,2067919,2099271,2132340,2167470,2204510,2243001,2282704,2323352,2364534,2405680,2446644,2489098,2530151,2567012,..
"Population, total",SP.POP.TOTL,Nauru,NRU,10233,10241,10283,10444,10694,10940,11185,11437,11682,11924,12132,12315,12511,12668,..
"Population, total",SP.POP.TOTL,Nepal,NPL,27026941,27161567,27266399,27330694,27381555,27462106,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,..
"Population, total",SP.POP.TOTL,Netherlands,NLD,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,17533044,17700982,..
"Population, total",SP.POP.TOTL,New Caledonia,NCL,245950,249750,254350,259000,263650,268050,269460,270220,270810,271170,271240,271080,270390,269220,..
"Population, total",SP.POP.TOTL,New Zealand,NZL,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100,..
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5770639,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392,..
"Population, total",SP.POP.TOTL,Niger,NER,16037915,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977,..
